Q	C	D
0	0	0.03
10	0	0.12
20	0	0.14
30	0.01	0.23
40	0.01	0.29
50	0.01	0.32
60	0.01	0.4
70	0.01	0.53
80	0.02	0.65
90	0.02	0.69
100	0.02	0.65
110	0.02	0.62
120	0.02	0.79
130	0.02	0.79
140	0.02	0.8
150	0.02	0.86
160	0.02	0.87
170	0.03	0.87
180	0.03	0.9
190	0.03	1.01
200	0.03	1.02
210	0.03	0.94
220	0.03	1.04
230	0.04	1.07
240	0.04	1.31
250	0.04	1.26
260	0.04	1.31
270	0.04	1.23
280	0.04	1.28
290	0.04	1.45
300	0.04	1.35
310	0.04	1.44
320	0.05	1.64
330	0.05	1.63
340	0.05	1.55
350	0.05	1.71
360	0.05	1.74
370	0.05	1.63
380	0.05	1.93
390	0.06	1.82
400	0.06	1.83
410	0.06	1.93
420	0.06	2.08
430	0.06	2.23
440	0.06	2.05
450	0.07	2.16
460	0.07	2.11
470	0.07	2.03
480	0.08	2.29
490	0.08	2.18
500	0.08	2.48
510	0.08	2.18
520	0.08	2.24
530	0.08	2.37
540	0.09	2.42
550	0.08	2.37
560	0.09	2.72
570	0.08	2.82
580	0.09	2.91
590	0.09	2.62
600	0.09	2.75
610	0.09	2.81
620	0.09	2.81
630	0.1	2.93
640	0.1	3.23
650	0.1	3.22
660	0.1	3.03
670	0.1	3.06
680	0.1	3.32
690	0.1	3.03
700	0.1	3.2
710	0.1	3.2
720	0.1	3.15
730	0.1	3.2
740	0.1	3.27
750	0.1	3.36
760	0.11	3.38
770	0.11	3.48
780	0.11	3.42
790	0.18	3.55
800	0.12	3.37
810	0.12	3.56
820	0.13	3.62
830	0.12	3.9
840	0.13	3.69
850	0.13	3.76
860	0.13	3.82
870	0.13	4.06
880	0.16	4.25
890	0.17	3.92
900	0.13	4.13
910	0.13	4.15
920	0.13	4.14
930	0.13	4.18
940	0.14	4.52
950	0.14	4.27
960	0.14	4.42
970	0.14	4.36
980	0.15	4.34
990	0.15	4.44
1000	0.15	4.48
1010	0.15	4.6
1020	0.15	4.78
1030	0.15	4.73
1040	0.16	4.84
1050	0.16	4.85
1060	0.16	4.89
1070	0.16	5.03
1080	0.16	5.15
1090	0.16	5.25
1100	0.17	5.01
1110	0.17	5.4
1120	0.26	5.16
1130	0.18	5.27
1140	0.18	5.36
1150	0.18	5.12
1160	0.18	5.34
1170	0.19	5.51
1180	0.2	5.4
1190	0.22	5.65
1200	0.27	6
0	0	0.03
10	0	0.1
20	0	0.14
30	0.01	0.28
40	0.01	0.41
50	0.02	0.37
60	0.02	0.39
70	0.02	0.64
80	0.02	0.65
90	0.02	0.58
100	0.02	0.65
110	0.02	0.72
120	0.02	0.84
130	0.02	0.79
140	0.02	0.83
150	0.02	0.94
160	0.02	0.93
170	0.02	1.1
180	0.03	0.96
190	0.03	0.98
200	0.03	0.93
210	0.03	0.91
220	0.03	1.18
230	0.03	1.1
240	0.03	1.2
250	0.04	1.34
260	0.04	1.31
270	0.08	1.45
280	0.06	1.38
290	0.05	1.31
300	0.04	1.35
310	0.05	1.44
320	0.05	1.66
330	0.05	1.55
340	0.05	1.77
350	0.05	1.65
360	0.05	1.74
370	0.05	1.65
380	0.05	1.8
390	0.06	1.8
400	0.06	1.99
410	0.09	1.93
420	0.07	2.03
430	0.08	1.93
440	0.07	2.06
450	0.07	2.26
460	0.07	2.23
470	0.07	2.24
480	0.07	2.39
490	0.08	2.37
500	0.07	2.24
510	0.07	2.34
520	0.08	2.5
530	0.08	2.39
540	0.08	2.47
550	0.08	2.45
560	0.08	2.38
570	0.08	2.42
580	0.08	2.77
590	0.09	2.79
600	0.09	2.62
610	0.09	2.76
620	0.09	2.75
630	0.1	2.85
640	0.1	2.82
650	0.17	3.34
660	0.11	2.9
670	0.1	3.05
680	0.1	3.11
690	0.1	3.38
700	0.1	3.09
710	0.1	3.28
720	0.1	3.27
730	0.1	3.38
740	0.1	3.28
750	0.1	3.3
760	0.11	3.38
770	0.11	3.35
780	0.11	3.44
790	0.11	3.22
800	0.11	3.36
810	0.11	3.5
820	0.11	3.71
830	0.12	3.67
840	0.2	3.78
850	0.12	3.92
860	0.12	3.76
870	0.13	4.08
880	0.13	4.38
890	0.13	4.27
900	0.14	3.86
910	0.13	4.13
920	0.13	4.13
930	0.14	4.34
940	0.14	4.36
950	0.14	4.16
960	0.14	4.42
970	0.14	4.43
980	0.14	4.77
990	0.15	4.67
1000	0.15	4.79
1010	0.15	4.7
1020	0.16	4.83
1030	0.16	4.91
1040	0.15	5.02
1050	0.16	4.92
1060	0.16	5.14
1070	0.16	4.78
1080	0.16	5.18
1090	0.16	5.01
1100	0.16	5.08
1110	0.17	5.09
1120	0.17	5.32
1130	0.17	5.04
1140	0.17	5.17
1150	0.17	5.23
1160	0.18	5.46
1170	0.18	5.37
1180	0.17	5.68
1190	0.18	6.01
